                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20210312"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                     1179                  1.0000000000000001E-005                 -4.9999999999999991E+000                  9.0426762489992052E+002                  3.6254802892623950E+001                 -9.8999999999999986E+001                  8.9321376200686223E+002                  9.8740350490683126E-001                  7.8139049282850415E-008                  9.9998174453982780E-001                  9.9983421230160574E-001                  9.8740350490683126E-001                  7.8139049282850415E-008                  9.9998174453982780E-001                  9.9983421230160574E-001                  8.4538852165924183E+000                 -2.1804198847360400E+001                 -7.2247198959355483E+000                  8.4538852165924183E+000                  7.0573047247965306E+000                  8.4360997106334281E+000                 -2.1804198847360400E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0440366063398813E+036                  1.2646712111981810E+036                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4451634321711415E+000                  7.3708804435269997E+000                  2.3177665182857141E+000                  2.7588315729949819E+000                  7.0990769769393424E+001                  1.6245112654244007E+001                 -2.5027757173247878E-001                  7.6854240352271228E+000                  6.1692171950574293E-001                  8.5000496591321817E-001                  1.2966429899503618E+000                  6.9999999930121082E-001                  2.7997020242141635E-001                  3.4468791407314217E-003                  9.3805276319738999E-003                  3.4468833607861436E-003                  9.3805276451495428E-003                  6.3298733739946522E+002                  2.5316798993780336E+002                                        0                                        5 
